country,mean_country
Argentina,20.23043206011271
Armenia,17.0
Australia,29.9159793814433
Austria,29.424254633360192
Bosnia and Herzegovina,19.5
Brazil,21.216216216216218
Bulgaria,19.887218045112782
Canada,31.86111111111111
Chile,19.440755873340144
China,28.0
Croatia,25.67241379310345
Cyprus,22.333333333333332
Czech Republic,28.916666666666668
England,46.42857142857143
France,26.95979274611399
Georgia,21.01388888888889
Germany,29.885082872928177
Greece,25.03186274509804
Hungary,27.194444444444443
India,21.5
Israel,30.574944071588366
Italy,34.40109103307194
Lebanon,26.653846153846153
Luxembourg,35.5
Macedonia,20.90909090909091
Mexico,22.40983606557377
Moldova,18.428571428571427
Morocco,23.75
New Zealand,27.007223113964688
Peru,14.2
Portugal,23.137424171721886
Romania,15.29
Serbia,28.25
Slovakia,24.0
Slovenia,25.426470588235293
South Africa,27.506372132540356
Spain,24.491031788314686
Switzerland,34.0
Turkey,25.488095238095237
US,32.574961360123645
Ukraine,17.214285714285715
Uruguay,20.184782608695652
