title,winery,millesime,designation,variety,country,province,region_1,region_2,price,points,description,taster_name,taster_twitter_handle,clean
Domaine Jacques Prieur 2020 Grèves Premier Cru  (Beaune),Domaine Jacques Prieur,2020.0,Grèves Premier Cru,Chardonnay,France,Burgundy,Beaune,,61.0,90,"Young vines, planted in 2011, give a fresh, fruity wine with attractive citrus and zingy orange flavors. It is ripe and deliciously perfumed with a touch of minerality and saltiness. Drink from 2023.",Roger Voss,@vossroger,young vine plant 2011 give fresh fruity wine attractive citrus zingy orange flavor ripe deliciously perfume touch minerality saltiness drink 2023
Louis Jadot 2020 Clos des Ursules Premier Cru  (Beaune),Louis Jadot,2020.0,Clos des Ursules Premier Cru,Pinot Noir,France,Burgundy,Beaune,,58.0,94,"This dense and structured wine comes from a small walled vineyard within the larger Les Vignes Franches premier cru, partially owned by Louis Jadot. Robust tannins frame its rich, juicy black fruit, showing potential for long aging. Drink from 2024.",Roger Voss,@vossroger,dense structure wine come small walled vineyard within large les vigne franche premier cru partially own louis jadot robust tannin frame rich juicy black fruit show potential long aging drink 2024
Joseph Drouhin 2014 Clos des Mouches Premier Cru  (Beaune),Joseph Drouhin,2014.0,Clos des Mouches Premier Cru,Pinot Noir,France,Burgundy,Beaune,,91.0,94,"The aromas of smoky new wood follow through to the wood flavors on the palate. However, it's the powerful sweet black cherry and red berry fruit flavors, layered with fruit tannins and acidity, that are driving this impressive wine. For aging at least six years.",Roger Voss,@vossroger,aroma smoky new wood follow wood flavor palate however powerful sweet black cherry red berry fruit flavor layer fruit tannin acidity drive impressive wine age least six year
Bouchard Aîné & Fils 2011 Les Marconnets Premier Cru  (Beaune),Bouchard Aîné & Fils,2011.0,Les Marconnets Premier Cru,Pinot Noir,France,Burgundy,Beaune,,54.0,89,"Typical Beaune in its round, soft character. If the tannins are not particularly powerful, it still shows a generous nature, with super-ripe fruits supported by some dryness. The finish is jammy, ripe, a salad of red berries.",Roger Voss,@vossroger,typical beaune round soft character tannin particularly powerful still show generous nature superripe fruit support dryness finish jammy ripe salad red berry
Albert Morot 2018 Cent-Vignes Premier Cru  (Beaune),Albert Morot,2018.0,Cent-Vignes Premier Cru,Pinot Noir,France,Burgundy,Beaune,,51.0,91,"This is an austere wine, packed with tannins and tight acidity. The red fruits are right at the back behind the firm structure. A mineral character supports the dusty texture and suggests long-term aging. Drink from 2022.",Roger Voss,@vossroger,austere wine pack tannin tight acidity red fruit right back behind firm structure mineral character support dusty texture suggest longterm age drink 2022
Domaine Jacques Prieur 2015 Champs Pimont Premier Cru  (Beaune),Domaine Jacques Prieur,2015.0,Champs Pimont Premier Cru,Chardonnay,France,Burgundy,Beaune,,66.0,87,"This is rounded and soft, with wood and spice flavors. There's an intriguing touch of ginger, along with a salty, mineral character.",Roger Voss,@vossroger,round soft wood spice flavor there s intriguing touch ginger along salty mineral character
Bouchard Père & Fils 2011 Beaune du Château Premier Cru  (Beaune),Bouchard Père & Fils,2011.0,Beaune du Château Premier Cru,Chardonnay,France,Burgundy,Beaune,,60.0,92,"This ripe, almond- and pear-flavored wine has a fine balancing structure of green fruit skins. It's certainly rich, but it also has elegance, restraining its exuberance through the finishing acidity, which promises 5–7 years' aging.",Roger Voss,@vossroger,ripe almond pearflavored wine fine balance structure green fruit skin certainly rich also elegance restrain exuberance finish acidity promise 5–7 year age
Domaine Chanson 2017 Clos des Fèves Premier Cru  (Beaune),Domaine Chanson,2017.0,Clos des Fèves Premier Cru,Pinot Noir,France,Burgundy,Beaune,,80.0,94,"A specialty of Chanson, this small premier cru gives a perfumed, dark and tannic wine. The dense, firm structure gives a dramatic base to the ripe black fruits, balanced acidity and a touch of wood that smoothes the wine. Drink from 2022.",Roger Voss,@vossroger,specialty chanson small premier cru gives perfume dark tannic wine dense firm structure give dramatic base ripe black fruit balanced acidity touch wood smooth wine drink 2022
Domaine Champy 2016 Vieilles Vignes  (Beaune),Domaine Champy,2016.0,Vieilles Vignes,Pinot Noir,France,Burgundy,Beaune,,,87,"While this shows the concentration of the vines that were planted in the 1940s, it also has a tight, lean quality and considerable acidity. Its fruit is still subdued by the structure, and it needs 3–4 years to become round.",Roger Voss,@vossroger,show concentration vine plant 1940 also tight lean quality considerable acidity fruit still subdue structure need 3–4 year become round
Bouchard Père & Fils 2012 Clos Saint-Landry Premier Cru  (Beaune),Bouchard Père & Fils,2012.0,Clos Saint-Landry Premier Cru,Chardonnay,France,Burgundy,Beaune,,,92,"Coming from a small 5-acre clos owned entirely by Bouchard Père, this a ripe wine, with wood dominating the aromas, but then allowing its spicy character to be balanced by delicious, crisp but ripe pear flavors. It is a rounded wine, offering full Chardonnay, kept in check by acidity.",Roger Voss,@vossroger,come small 5acre clo own entirely bouchard père ripe wine wood dominate aroma allow spicy character balanced delicious crisp ripe pear flavor round wine offer full chardonnay keep check acidity
Château de Santenay 2020 Montée Rouge Premier Cru  (Beaune),Château de Santenay,2020.0,Montée Rouge Premier Cru,Pinot Noir,France,Burgundy,Beaune,,39.0,92,"Named after the red soil of the vineyard, this wine is rich and full of generous red fruits. They are cut with the acidity of the vintage to give a crisp edge to this full-bodied wine. Spice and hedgerow fruits finish a wine that still needs to develop. Drink from 2024.",Roger Voss,@vossroger,name red soil vineyard wine rich full generous red fruit cut acidity vintage give crisp edge fullbodie wine spice hedgerow fruit finish wine still need develop drink 2024
Maison Champy 2020 Premier Cru  (Beaune),Maison Champy,2020.0,Premier Cru,Pinot Noir,France,Burgundy,Beaune,,41.0,92,"Still quite closed, this is a firm wine with all its tight tannins still in place. It's dry at this stage, although the fruit is going to develop well. Acidity and a hint of perfumed red-berry flavors promise a good future. Drink from 2024.",Roger Voss,@vossroger,still quite closed firm wine tight tannin still place dry stage although fruit going develop well acidity hint perfume redberry flavor promise good future drink 2024
