title,winery,millesime,designation,variety,country,province,region_1,region_2,price,points,description,taster_name,taster_twitter_handle,clean
Simonnet-Febvre 2021  Chablis,Simonnet-Febvre,2021.0,,Chardonnay,France,Burgundy,Chablis,,18.0,86,"From the warm 2019 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.",Roger Voss,@vossroger,warm 2019 vintage soft fruity wine open broad white fruit flavor acidity light usual chabli give particularly ripe character drink
Vignerons des Terres Secrètes 2021  Mâcon-Milly Lamartine,Vignerons des Terres Secrètes,2021.0,,Chardonnay,France,Burgundy,Mâcon-Milly Lamartine,,15.0,86,"This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.",Roger Voss,@vossroger,soft rounded wine ripe generous pear melon flavor easy ready drink young smooth attractively ripe character
La Chablisienne 2012 Les Vénérables Vieilles Vignes  (Chablis),La Chablisienne,2012.0,Les Vénérables Vieilles Vignes,Chardonnay,France,Burgundy,Chablis,,37.0,88,"The impact of 50-year old vines is seen in the concentrated fruit, ripe and full,  in this wine. The flavors are of fresh apricots, edged with green apples and pink grapefruit, a combination that shows both richness and great freshness. The finish is a reminder of the fine acidity in 2010.",Roger Voss,@vossroger,impact 50year old vine see concentrate fruit ripe full wine flavor fresh apricot edge green apple pink grapefruit combination show richness great freshness finish reminder fine acidity 2010
Bertrand Ambroise 2012  St.-Romain,Bertrand Ambroise,2012.0,,Chardonnay,France,Burgundy,St.-Romain,,43.0,87,"A citrus-dominated wine, lime and lemon giving a crisp intensity. There is a somewhat bitter toast element, but the acidity, the fresh fruits and the soft structure act as a counter-balance. Give it six months to a year. Screwcap.",Roger Voss,@vossroger,citrusdominate wine lime lemon give crisp intensity somewhat bitter toast element acidity fresh fruit soft structure act counterbalance give six month year screwcap
Domaine Bertagna 2015 Les Dames Huguettes  (Côte de Nuits-Villages),Domaine Bertagna,2015.0,Les Dames Huguettes,Pinot Noir,France,Burgundy,Côte de Nuits-Villages,,33.0,87,"Rich and full in the mouth, packed with red fruits and black cherries. The wine is sweet, while keeping a tannic core. Drink next year.",Roger Voss,@vossroger,rich full mouth pack red fruit black cherry wine sweet keep tannic core drink next year
Louis Latour 2020 Le Montrachet  (Montrachet),Louis Latour,2020.0,Le Montrachet,Chardonnay,France,Burgundy,Montrachet,,263.0,96,"This beautiful, rich wine has yellow fruits and is concentrated, tightly textured and conveys a ripe character. The touches of wood are just right, adding spice to the opulent fruitiness. A mineral texture gives some tightness to the aftertaste. Drink from 2024.",Roger Voss,@vossroger,beautiful rich wine yellow fruit concentrate tightly texture convey ripe character touch wood right add spice opulent fruitiness mineral texture give tightness aftertaste drink 2024
Château de la Tour 2019 Vieilles Vignes  (Clos de Vougeot),Château de la Tour,2019.0,Vieilles Vignes,Pinot Noir,France,Burgundy,Clos de Vougeot,,179.0,95,"Produced from vines more than 100 years old in the heart of the Clos de Vougeot vineyard, this is an impressive wine with a long future. The wood aging is already surrounded by ripe, intense black fruits. A fresher character comes from the bright acidity of the vintage, giving the wine a lift. The aftertaste is long and concentrated. Drink from 2024.",Roger Voss,@vossroger,produce vine 100 year old heart clos de vougeot vineyard impressive wine long future wood aging already surround ripe intense black fruit fresher character come bright acidity vintage give wine lift aftertaste long concentrated drink 2024
Philippe Colin 2020 Les Chenevottes Premier Cru  (Chassagne-Montrachet),Philippe Colin,2020.0,Les Chenevottes Premier Cru,Chardonnay,France,Burgundy,Chassagne-Montrachet,,67.0,95,"Up the slope above the Grand Cru of Le Montrachet, this vineyard once grew hemp (hence the name, cheneve). This poised wine is both stylish and rich, with good acidity allied to ripe apple and citrus fruits, cut through the mineral texture and promise a generous wine as it ages. Drink from 2024.",Roger Voss,@vossroger,slope grand cru le montrachet vineyard grow hemp hence name cheneve poise wine stylish rich good acidity ally ripe apple citrus fruit cut mineral texture promise generous wine age drink 2024
Louis Latour 2020  Criots-Bâtard-Montrachet,Louis Latour,2020.0,,Chardonnay,France,Burgundy,Criots-Bâtard-Montrachet,,168.0,95,"This is an opulent wine from one of the fabled series of white Grand Crus. Along with generous yellow fruits and ripe citrus, it has weight and gravitas. Spice from the wood fills things out even more, giving the wine its balance, its intensity and its future. Drink from 2022.",Roger Voss,@vossroger,opulent wine one fabled series white grand crus along generous yellow fruit ripe citrus weight gravita spice wood fill thing even give wine balance intensity future drink 2022
Patrick Javillier 2017 Les Tillets  (Meursault),Patrick Javillier,2017.0,Les Tillets,Chardonnay,France,Burgundy,Meursault,,,92,"Aromas of wood aging and ripe yellow fruits are a fine pairing for this wine that comes from the slopes above Meursault. With its textured character, apricot and peach flavors and tight acidity, this is a serious and complex wine that demands aging. Drink from 2019.",Roger Voss,@vossroger,aromas wood age ripe yellow fruit fine pair wine come slope meursault texture character apricot peach flavor tight acidity serious complex wine demand age drink 2019
Henri de Villamont 2016 Blagny Premier Cru  (Meursault),Henri de Villamont,2016.0,Blagny Premier Cru,Chardonnay,France,Burgundy,Meursault,,62.0,92,"This big, ripe and fruity wine shows both the richness and the structure of the vintage, but never loses sight of balance. It's full of rich yellow fruits, green plums and citrus, but structured with refreshing acidity, a minerally texture and gentle hints of wood aging. Drink from 2019.",Roger Voss,@vossroger,big ripe fruity wine show richness structure vintage never lose sight balance full rich yellow fruit green plum citrus structure refreshing acidity minerally texture gentle hint wood age drink 2019
