province,mean_province
Achaia,27.6
Aconcagua Costa,19.53846153846154
Aconcagua Valley,23.57831325301205
Aegean,31.857142857142858
Agioritikos,25.333333333333332
Ahr,40.857142857142854
Alenquer,18.833333333333332
Alentejano,21.222826086956523
Alentejo,22.195652173913043
Alenteo,21.0
Algarve,16.857142857142858
Alsace,29.96512233211869
America,26.654761904761905
Amindeo,27.0
Amyndeon,34.2
Andalucia,36.388888888888886
Ankara,25.1875
Apalta,14.5
Arizona,26.742857142857144
Armenia,17.0
Atalanti Valley,25.333333333333332
Atlantida,18.0
Attica,26.5
Australia Other,18.52888888888889
Austria,29.055555555555557
Awatere Valley,24.5
Baden,33.76744186046512
Bairrada,24.33076923076923
Beaujolais,21.907178217821784
Beira Atlantico,27.555555555555557
Beira Interior,21.612903225806452
Beiras,28.22222222222222
Bekaa Valley,22.866666666666667
Beotia,36.0
Black Sea Coastal,12.666666666666666
Bordeaux,23.201167883211678
Bot River,26.2
Brazil,20.75
Brda,33.333333333333336
Breede River Valley,21.0
Breedekloof,28.666666666666668
British Columbia,31.089041095890412
Bucelas,22.8125
Buin,29.0
Bulgaria,13.428571428571429
Burgenland,27.97920997920998
Burgundy,34.368645877829984
Bío Bío Valley,16.73170731707317
Cachapoal Valley,21.34567901234568
Cahul,12.666666666666666
California,33.47204073494678
Campanha,28.0
Canada Other,61.0
Canelones,20.897435897435898
Canterbury,23.75
Cape Agulhas,33.0
Cape Peninsula,36.333333333333336
Cape South Coast,25.0
Cappadocia,16.428571428571427
Carnuntum,27.55421686746988
Casablanca & Leyda Valleys,24.333333333333332
Casablanca Valley,19.204379562043794
Casablanca-Curicó Valley,22.0
Catalonia,27.976361767728672
Cauquenes Valley,25.4
Cederberg,32.5
Central Greece,12.0
Central Italy,24.07815845824411
Central Otago,34.3984375
Central Spain,17.182897862232778
Central Valley,13.715189873417721
Cephalonia,25.875
Chalkidiki,24.5
Champagne,58.54761904761905
Chile,15.775
China,28.0
Choapa Valley,17.0
Coastal Region,23.17391304347826
Codru Region,23.5
Coelemu,25.0
Colares,27.0
Colchagua Costa,17.625
Colchagua Valley,20.414772727272727
Colorado,25.689655172413794
Connecticut,22.666666666666668
Constantia,26.1
Corinth,22.666666666666668
Crete,21.105263157894736
Croatia,27.0
Curicó Valley,15.961722488038278
Curicó and Leyda Valleys,18.333333333333332
Curicó and Maipo Valleys,18.0
Cyclades,19.0
Cyprus,21.666666666666668
Dalmatian Coast,27.0
Dan,17.0
Danube River Plains,22.642857142857142
Darling,23.0
Dealu Mare,17.523809523809526
Dealurile Hușilor,18.0
Dealurile Munteniei,13.75
Devon Valley,35.0
Dingač,46.0
Dolenjska,18.0
Douro,26.136683417085425
Drama,24.82857142857143
Durbanville,18.125
Duriense,27.083333333333332
Dão,26.61423220973783
East Coast,20.142857142857142
Eger,25.4
Eilandia,21.333333333333332
Eisenberg,34.42857142857143
Elazığ,30.0
Elazığ-Diyarbakir,31.0
Elgin,30.75
Elim,24.0
Ella Valley,31.0
Elqui Valley,17.104166666666668
England,45.333333333333336
Epanomi,31.0
Estremadura,18.735294117647058
Florina,24.083333333333332
France Other,17.923954372623573
Franken,23.217391304347824
Franschhoek,32.81818181818182
Fruška Gora,17.333333333333332
Galicia,22.242744063324537
Galil,32.416666666666664
Galilee,28.649789029535864
Georgia,20.5
Germany,26.8
Gisborne,27.0
Gladstone,24.0
Golan Heights,45.333333333333336
Goriska Brda,28.35
Goumenissa,29.0
Greece,20.727272727272727
Groenekloof,33.0
Guerrouane,30.0
Halkidiki,26.6
Haut-Judeé,51.0
Hawaii,51.0
Hawke's Bay,29.725490196078432
Helderberg,58.0
Hemel en Aarde,45.875
Hrvatsko Primorje,18.0
Hungary,24.666666666666668
Hvar,29.0
Ica,14.2
Idaho,21.782857142857143
Illinois,51.0
Imathia,20.0
Iowa,21.75
