region_1,mean_region_1
Abruzzo,28.333333333333332
Adelaida District,37.17821782178218
Adelaide,24.071428571428573
Adelaide Hills,26.356435643564357
Adelaide Plains,19.5
Aglianico d'Irpinia,28.0
Aglianico del Beneventano,41.5
Aglianico del Taburno,34.333333333333336
Aglianico del Vulture,30.75438596491228
Agrelo,23.94736842105263
Albana di Romagna,17.5
Alcamo,22.666666666666668
Aleatico dell'Elba,49.0
Alella,20.0
Alexander Valley,34.94729136163983
Alghero,26.0
Alicante,16.178571428571427
Almansa,17.8
Aloxe-Corton,45.857142857142854
Alpilles,23.0
Alpine Valleys,15.0
Alsace,28.450795521508546
Alta Langa,40.875
Alta Mesa,24.625
Alta Valle della Greve,51.25
Alto Adige,27.594405594405593
Alto Adige Terlano,28.0
Alto Adige Valle Isarco,24.25
Alto Valle del Río Negro,17.681818181818183
Altos de Mendoza,41.0
Amador County,28.45967741935484
Amador-Napa,24.5
Amarone della Valpolicella,47.14736842105263
Amarone della Valpolicella Classico,51.626943005181346
Amarone della Valpolicella Valpantena,56.333333333333336
Ancient Lakes,19.46938775510204
Anderson Valley,40.192567567567565
Anjou,21.75
Anjou Villages,26.0
Anjou Villages Brissac,39.0
Antelope Valley of the California High Desert,21.333333333333332
Applegate Valley,28.97902097902098
Arbois,28.476190476190474
Ardèche,37.333333333333336
Argentina,16.037037037037038
Arizona,28.272727272727273
Arribes del Duero,52.0
Arroyo Grande Valley,40.08783783783784
Arroyo Seco,27.2964824120603
Asolo Prosecco Superiore,33.45454545454545
Asti,26.90909090909091
Atlantique,9.8
Atlas Peak,52.395833333333336
Aude Hauterive,36.5
Augusta,19.857142857142858
Australia,20.0
Australia-New Zealand,16.0
Auxey-Duresses,37.36363636363637
Ballard Canyon,38.38666666666666
Bandol,28.0
Banyuls,31.333333333333332
Barbaresco,45.6199649737303
Barbera d'Alba,27.8
Barbera d'Alba Superiore,28.928571428571427
Barbera d'Asti,22.2
Barbera d'Asti Superiore,26.758064516129032
Barbera d'Asti Superiore Nizza,35.666666666666664
Barbera del Monferrato,25.6
Barbera del Monferrato Superiore,38.666666666666664
Barbera di Piemonte,16.0
Barco Reale di Carmignano,17.5
Bardolino,17.22222222222222
Bardolino Chiaretto,15.538461538461538
Bardolino Classico,15.0
Bardolino Classico Superiore,22.0
Bardolino Superiore,20.0
Barolo,54.74177949709865
Barossa,33.846846846846844
Barossa Valley,30.848214285714285
Barossa-Langhorne Creek,48.0
Barsac,36.666666666666664
Basilicata,23.642857142857142
Beamsville Bench,29.444444444444443
Beaujolais,15.011111111111111
Beaujolais Blanc,16.307692307692307
Beaujolais Rosé,14.818181818181818
Beaujolais-Leynes,20.25
Beaujolais-Villages,18.029239766081872
Beaune,48.60550458715596
Beechworth,26.5
Ben Lomond Mountain,41.31578947368421
Benaco Bresciano,16.0
Bendigo,31.0
Beneventano,23.235294117647058
Bennett Valley,34.957142857142856
Bergerac,18.55263157894737
Bergerac Rosé,11.0
Bergerac Sec,23.022222222222222
Bianco di Custoza,27.0
Bierzo,24.51094890510949
Biferno Rosso,30.0
Big Valley District-Lake County,21.5
Bizkaiko Txakolina,22.285714285714285
Blanquette de Limoux,22.0
Blaye Côtes de Bordeaux,20.99662162162162
Boca,52.0
Bolgheri,33.81875
Bolgheri Superiore,50.95348837209303
Bonnezeaux,49.0
Bordeaux,16.663677130044842
Bordeaux Blanc,16.309859154929576
Bordeaux Clairet,14.416666666666666
Bordeaux Côtes de Francs ,32.0
Bordeaux Rosé,14.325301204819278
Bordeaux Supérieur,19.323759791122715
Bourgogne,21.264367816091955
Bourgogne Aligoté,20.0625
Bourgogne Côtes d’Auxerre,17.666666666666668
Bourgogne Epineuil,28.75
Bourgogne Gamay,16.0
Bourgogne Hautes Côtes de Beaune,26.615384615384617
Bourgogne Hautes Côtes de Nuits,22.59090909090909
Bourgogne Vézelay,24.0
Bourgueil,23.68421052631579
Brachetto d'Acqui,23.142857142857142
Bramaterra,41.55555555555556
British Columbia,23.5
Brouilly,21.184615384615384
Brulhois,36.0
Brunello di Montalcino,57.940848214285715
Buenos Aires,18.666666666666668
Bullas,21.0
Buzet,20.352941176470587
Béarn,15.5
Cabardes,36.5
Cabernet d'Anjou,11.0
Cabernet de Saumur,13.0
Cacc’e Mmitte di Lucera,30.0
Cadillac,31.5
Cadillac Côtes de Bordeaux,22.50925925925926
Cafayate,19.209876543209877
Cahors,29.386363636363637
Calabria,27.75
Calatayud,16.22972972972973
Calaveras County,31.010416666666668
Calchaquí Valley,18.564102564102566
California,17.7283481199831
California Other,22.0
California-Oregon,18.0
Calistoga,39.41228070175438
Campania,26.254545454545454
Campi Flegrei,22.545454545454547
Campo de Borja,15.885245901639344
Canada,61.0
Cannonau di Sardegna,27.285714285714285
Canon-Fronsac,40.166666666666664
Capay Valley,24.333333333333332
Carema,60.0
Carignano del Sulcis,31.066666666666666
Cariñena,15.49655172413793
Carmel Valley,33.54216867469879
Carmignano,28.22222222222222
Carneros,36.38347457627118
Carneros-Napa Valley,27.77777777777778
Casorzo,18.0
Castel del Monte,25.413793103448278
Castilla La Mancha,12.0
Castillon Côtes de Bordeaux,23.008333333333333
Catalanesca del Monte Somma,25.0
Catalonia,17.0
Catalunya,17.153846153846153
Catamarca,20.0
Cava,29.19362186788155
Cayuga Lake,19.73846153846154
Central Coast,22.25074183976261
Central Ranges,20.666666666666668
Central Valley,22.333333333333332
Central Victoria,18.25
Cerasuolo d'Abruzzo,16.5
Cerasuolo di Vittoria,25.666666666666668
Cerasuolo di Vittoria Classico,30.733333333333334
Cesanese del Piglio,24.571428571428573
Chablis,37.54461538461538
Chalk Hill,39.070422535211264
Chalone,39.205882352941174
Chambolle-Musigny,54.6
Champagne,58.90243902439025
Charentais,12.0
Chassagne-Montrachet,50.60344827586207
Chehalem Mountains,38.79430379746835
Chelan County,26.5
Cheverny,19.4
Chianti,18.484126984126984
Chianti Classico,32.61822376009227
Chianti Colli Aretini,23.0
Chianti Colli Fiorentini,23.5
Chianti Colli Pisani,18.0
Chianti Colli Senesi,20.875
Chianti Montalbano,17.8
Chianti Montespertoli,27.0
Chianti Rufina,26.859649122807017
Chianti Superiore,21.5
Chignin,23.0
Chignin-Bergeron,32.0
Chiles Valley,44.833333333333336
Chinon,25.365384615384617
Chiroubles,22.025
Chorey-lès-Beaune,26.68421052631579
Châteaumeillant,16.5
Châteauneuf-du-Pape,44.44
Chénas,24.466666666666665
Cienega Valley,21.4
Cigales,30.526315789473685
Cilento,28.333333333333332
Circeo,12.0
Cirò,18.0
Cirò Classico,28.0
Civitella d'Agliano,29.0
Clairette de Bellegarde,23.0
Clairette de Die,33.0
Clairette de Die Méthode Dioise Ancestrale,28.333333333333332
Clare Valley,31.945454545454545
Clare Valley-Coonawarra,27.0
Clare Valley-Eden Valley,28.0
Clarendon,55.0
Clarksburg,19.766990291262136
Clear Lake,28.416666666666668
Clements Hills,28.0
Cochise County,26.318181818181817
Coda di Volpe d'Irpinia,22.0
Cole Ranch,35.833333333333336
Colli Aprutini,16.125
Colli Bolognesi,16.5
Colli Etruria Centrale,46.0
Colli Euganei,26.0
Colli Martani,21.75
Colli Orientali del Friuli,26.38888888888889
Colli Perugini,17.0
Colli Piacentini,22.571428571428573
Colli Tortonesi,40.666666666666664
Colli Trevigiani,29.75
Colli del Limbara,28.0
Colli della Toscana Centrale,52.208333333333336
Colli di Conegliano,29.666666666666668
Colli di Faenza,20.5
Colli di Luni,26.0
Colli di Salerno,24.0
Colline Lucchesi,74.0
Colline Novaresi,24.23076923076923
Colline Pescaresi,20.666666666666668
Colline Teatine,13.0
Collines Rhôdaniennes,17.571428571428573
Collio,25.063333333333333
Collioure,18.0
Colorado,26.05263157894737
Columbia Gorge (OR),31.125
Columbia Gorge (WA),26.35135135135135
Columbia Valley,39.0
Columbia Valley (OR),29.406779661016948
Columbia Valley (WA),30.070725388601037
Columbia Valley-Walla Walla Valley,50.0
Conca de Barberà,31.444444444444443
Condrieu,42.0
Conegliano Valdobbiadene Prosecco Superiore,30.64390243902439
Conero,40.333333333333336
Contea di Sclafani,46.0
Contra Costa County,26.885714285714286
Controguerra,28.333333333333332
Coombsville,48.642857142857146
Coonawarra,34.83673469387755
Copertino,23.666666666666668
Corbières,23.833333333333332
Corbières-Boutenac,39.333333333333336
Cornas,51.0
Corse,21.096774193548388
Corse Porto Vecchio,17.666666666666668
Cortese di Gavi,20.25
Cortona,33.94871794871795
Costa Toscana,30.0
Costa d'Amalfi,35.25
Coste della Sesia,29.75
Costers del Segre,23.76923076923077
Costières de Nîmes,21.626262626262626
Coteaux Bourguignons,14.703703703703704
Coteaux Varois,24.42105263157895
Coteaux Varois en Provence,18.632653061224488
Coteaux d'Aix-en-Provence,22.724137931034484
Coteaux d'Ancenis,13.0
Coteaux du Giennois,21.06896551724138
Coteaux du Languedoc,27.71875
Coteaux du Languedoc Pic Saint Loup,25.25
Coteaux du Layon,29.0
Coteaux du Layon Beaulieu,44.0
Coteaux du Layon Chaume,33.5
Coteaux du Lyonnais,19.0
Coteaux du Vendômois,16.666666666666668
Cour-Cheverny,25.5
Crozes-Hermitage,36.36585365853659
Crémant d'Alsace,40.851851851851855
Crémant de Bordeaux,24.333333333333332
Crémant de Bourgogne,42.42622950819672
Crémant de Jura,35.0
Crémant de Limoux,32.666666666666664
Crémant de Loire,39.14705882352941
Cucamonga Valley,37.30769230769231
Currency Creek,17.0
Currency Creek-McLaren Vale,24.0
Curtefranca,33.333333333333336
Custoza,19.0
Custoza Superiore,27.0
Cérons,36.333333333333336
Cévennes,12.5
Côte Chalonnaise,18.11111111111111
