variety,mean_variety
Abouriou,29.666666666666668
Agiorgitiko,29.131147540983605
Aglianico,40.91814946619217
Aidani,19.0
Airen,9.0
Albana,21.8125
Albanello,20.0
Albariño,22.651612903225807
Albarossa,49.0
Aleatico,39.0
Alfrocheiro,30.375
Alicante,28.8
Alicante Bouschet,29.31111111111111
Aligoté,21.413793103448278
Alsace white blend,30.02127659574468
Altesse,20.875
Alvarelhão,24.5
Alvarinho,21.765217391304347
Alvarinho-Chardonnay,16.0
Ansonica,27.5
Antão Vaz,21.529411764705884
Apple,55.5
Aragonez,25.833333333333332
Aragonês,38.42857142857143
Argaman,39.333333333333336
Arinto,18.857142857142858
Arneis,21.743589743589745
Asprinio,14.0
Assyrtico,25.975609756097562
Assyrtiko,23.944444444444443
Athiri,19.0
Austrian Red Blend,37.9811320754717
Austrian white blend,31.32758620689655
Auxerrois,25.454545454545453
Avesso,20.666666666666668
Azal,16.333333333333332
Babić,38.0
Babosa Negro,34.0
Baco Noir,23.846153846153847
Baga,36.56
Baga-Touriga Nacional,43.5
Barbera,27.238578680203045
Barbera-Nebbiolo,31.0
Bastardo,21.5
Biancale,23.0
Biancolella,30.0
Bical,18.75
Black Monukka,53.5
Black Muscat,25.77777777777778
Blanc du Bois,21.166666666666668
Blatina,20.0
Blauburger,25.0
Blauburgunder,28.0
Blauer Portugieser,19.5
Blaufränkisch,32.33502538071066
Bobal,17.8
Bobal-Cabernet Sauvignon,10.0
Bombino Bianco,30.0
Bombino Nero,21.0
Bonarda,19.58
Bordeaux-style Red Blend,34.236440337484936
Bordeaux-style White Blend,22.462848297213622
Bovale,36.0
Boğazkere,29.75
Brachetto,22.2
Braucol,33.25
Bual,152.5
Cabernet,18.0
Cabernet Blend,47.6
Cabernet Franc,30.700903861955627
Cabernet Franc-Cabernet Sauvignon,28.714285714285715
Cabernet Franc-Carmenère,16.5
Cabernet Franc-Lemberger,19.0
Cabernet Franc-Malbec,37.0
Cabernet Franc-Merlot,35.875
Cabernet Merlot,28.5
Cabernet Moravia,30.0
Cabernet Pfeffer,29.0
Cabernet Sauvignon,41.33018448544121
Cabernet Sauvignon Grenache,24.0
Cabernet Sauvignon-Barbera,69.0
Cabernet Sauvignon-Cabernet Franc,42.5
Cabernet Sauvignon-Carmenère,24.594594594594593
Cabernet Sauvignon-Malbec,28.823529411764707
Cabernet Sauvignon-Merlot,30.289719626168225
Cabernet Sauvignon-Merlot-Shiraz,24.333333333333332
Cabernet Sauvignon-Sangiovese,38.6
Cabernet Sauvignon-Shiraz,32.21739130434783
Cabernet Sauvignon-Syrah,36.51
Cabernet Sauvignon-Tempranillo,20.8
Cabernet-Malbec,14.0
Cabernet-Shiraz,55.5
Cabernet-Syrah,33.416666666666664
Canaiolo,35.666666666666664
Cannonau,29.0
Caprettone,30.0
Carcajolu,20.0
Carignan,29.16176470588235
Carignan-Grenache,25.428571428571427
Carignan-Syrah,47.333333333333336
Carignane,28.333333333333332
Carignano,36.166666666666664
Carineña,24.8
Cariñena-Garnacha,29.0
Carmenère,20.533081285444233
Carmenère-Cabernet Sauvignon,30.714285714285715
Carmenère-Syrah,25.285714285714285
Carricante,38.94444444444444
Casavecchia,45.4
Castelão,20.322580645161292
Catalanesca,25.0
Catarratto,21.125
Cayuga,15.5
Centesimino,32.0
Cerceal,41.333333333333336
Cercial,32.0
Cesanese,27.0
Cesanese d'Affile,28.25
Chambourcin,18.22222222222222
Champagne Blend,84.8558476881233
Chancellor,14.5
Charbono,32.375
Chardonel,12.0
Chardonnay,29.629075309818877
Chardonnay Weissburgunder,57.0
Chardonnay-Albariño,36.5
Chardonnay-Pinot Blanc,36.666666666666664
Chardonnay-Pinot Gris,15.0
Chardonnay-Riesling,19.0
Chardonnay-Sauvignon,19.166666666666668
Chardonnay-Sauvignon Blanc,17.833333333333332
Chardonnay-Semillon,22.714285714285715
Chardonnay-Viognier,16.62962962962963
Chasselas,24.714285714285715
Chelois,18.0
Chenin Blanc,24.208
Chenin Blanc-Chardonnay,29.037037037037038
Chenin Blanc-Sauvignon Blanc,14.2
Chenin Blanc-Viognier,19.333333333333332
Chinuri,20.666666666666668
Ciliegiolo,32.0
Cinsault,27.789473684210527
Clairette,23.0
Claret,28.26923076923077
Cococciola,21.0
Coda di Volpe,19.846153846153847
Colombard,19.782608695652176
Colombard-Sauvignon Blanc,13.933333333333334
Colombard-Ugni Blanc,11.428571428571429
Colorino,28.0
Cortese,22.311475409836067
Corvina,47.65
"Corvina, Rondinella, Molinara",49.44769874476987
Counoise,33.2
Códega do Larinho,19.25
Dafni,21.0
Debit,143.66666666666666
Diamond,13.0
Dolcetto,24.78395061728395
Dornfelder,17.08
Doña Blanca,40.0
Duras,21.6
Durella,38.25
Durif,49.0
Edelzwicker,22.0
Elbling,19.25
Emir,18.666666666666668
Encruzado,26.264705882352942
Erbaluce,31.666666666666668
Falanghina,23.142857142857142
Favorita,32.0
Fer Servadou,17.5
Fernão Pires,21.555555555555557
Feteasca,20.5
Feteasca Neagra,22.285714285714285
Feteascǎ Regalǎ,16.5
Fiano,28.26984126984127
Folle Blanche,14.0
Forcallà,17.0
Francisa,109.0
Franconia,23.0
Frankovka,26.0
Frappato,24.676470588235293
Freisa,23.5
Friulano,23.962264150943398
Früburgunder,34.0
Fumé Blanc,27.794117647058822
Furmint,27.901960784313726
G-S-M,32.857142857142854
Gaglioppo,23.846153846153847
Gamay,22.061728395061728
Gamay Noir,24.904761904761905
Gamza,19.0
Garganega,22.521951219512196
Garnacha,17.97952218430034
Garnacha Blanca,17.176470588235293
Garnacha Blend,27.0
Garnacha Tintorera,17.285714285714285
Garnacha-Cabernet,13.0
Garnacha-Cariñena,90.0
Garnacha-Monastrell,19.333333333333332
Garnacha-Syrah,14.153846153846153
Garnacha-Tempranillo,15.5
Gelber Muskateller,23.238095238095237
Gelber Traminer,50.0
Gewürztraminer,25.65730337078652
Gewürztraminer-Riesling,20.833333333333332
Glera,30.842546063651593
Godello,21.87837837837838
Gouveio,32.0
Graciano,32.51428571428571
Gragnano,17.0
Grauburgunder,23.8
Graševina,22.0
Grecanico,21.833333333333332
Grechetto,21.7
Greco,26.762376237623762
Greco Bianco,21.5
Grenache,32.1437908496732
Grenache Blanc,25.357723577235774
Grenache Blend,17.75
Grenache Gris,20.0
Grenache Noir,24.333333333333332
Grenache-Carignan,27.733333333333334
Grenache-Mourvèdre,32.666666666666664
Grenache-Shiraz,33.0
Grenache-Syrah,31.959183673469386
Grignolino,21.0
Grillo,19.611650485436893
Grolleau,28.0
Groppello,29.0
Gros Manseng,20.57894736842105
Gros Plant,14.0
Gros and Petit Manseng,24.875
Grüner Veltliner,27.790867579908674
Hondarrabi Zuri,18.705882352941178
Hárslevelü,26.5
Incrocio Manzoni,26.666666666666668
Insolia,21.26923076923077
Inzolia,18.08
Irsai Oliver,19.0
Jacquez,30.0
Jacquère,18.347826086956523
Jaen,34.833333333333336
Jampal,23.0
Johannisberg Riesling,21.0
Kadarka,23.0
Kalecik Karasi,24.846153846153847
Kangoun,16.0
Karalahna,19.0
Karasakiz,23.0
Kekfrankos,27.555555555555557
Kerner,24.625
Kinali Yapincak,14.0
Kisi,21.0
Kotsifali,25.0
Kuntra,18.0
Lagrein,32.42307692307692
Lambrusco,22.047619047619047
Lambrusco Grasparossa,27.375
Lambrusco Salamino,25.333333333333332
Lambrusco di Sorbara,25.923076923076923
Lemberger,22.4
Listán Negro,23.0
Loin de l'Oeil,32.833333333333336
Loureiro,18.0
Loureiro-Arinto,13.0
Macabeo,15.5
Macabeo-Chardonnay,18.0
Macabeo-Moscatel,14.0
Madeira Blend,79.0
Madeleine Angevine,17.0
Magliocco,40.5
Malagousia,22.166666666666668
Malagouzia,26.0
Malagouzia-Chardonnay,12.0
Malbec,27.097490744549567
Malbec Blend,46.0
Malbec-Bonarda,20.6
