winery,mean_winery
1+1=3,38.4
10 Knots,24.25
100 Percent Wine,18.0
1000 Stories,25.5
1070 Green,28.0
10Span,12.25
12 Linajes,34.875
12C Wines,62.6
13 Celsius,18.0
14 Hands,20.857142857142858
16X20,35.5
1752 Signature Wines,19.0
1789 Wines,58.0
181,18.0
18401 Cellars,51.0
1848 Winery,38.5
1850,23.666666666666668
19 Crimes,11.0
2 Copas,7.0
2 Lads,24.5
2 Up,21.25
21 Grams,85.0
24 Knots,15.0
240 Days,19.666666666666668
25 Lagunas,5.0
29 & Oak Wines,38.333333333333336
2Hawk,29.285714285714285
2Plank,29.5
2nd Chance,41.0
3 Badge Beverage,18.0
3 Ball,21.0
3 Horse Ranch Vineyards,21.310344827586206
3 Rings,24.5
3 Spells,23.0
3 Steves Winery,26.2
3 Stones,24.0
3000 BC,17.0
31st State,11.0
32 Winds,47.666666666666664
337 Wine Cellars,21.5
3CV,19.0
3Fools,21.333333333333332
4 Cellars,20.666666666666668
401K,16.333333333333332
428 Wines,42.0
42°S,31.0
460 Casina Bric,46.333333333333336
4R4U,14.0
50 Harvests,41.0
5OS Project,26.0
6 North,55.25
6 Under,25.0
60 North,14.0
60 Souls,18.0
6cepas6,21.5
7 Heavenly Chards,17.0
7 Peaks,16.0
75 Wine Co.,23.0
786 Wines,15.0
8 Chains North,32.0
868 Estate,30.5
9 Mile Road,26.333333333333332
:Nota Bene,32.84126984126984
A Blooming Hill Vineyard,20.77777777777778
A By Acacia,17.5
A Cellar Full of Noise,23.0
A Coroa,30.0
A Donkey and Goat,46.0
A to Z,22.307692307692307
A-Mano,16.8
A. Christmann,39.25
A. D. Coutelas,72.25
A. Margaine,98.0
A. Parparoussis,30.0
A. de Luze et Fils,14.0
A.A. Badenhorst Family Wines,39.25
A.P. Vin,42.75
A.R. Lenoble ,83.5
A.S. Kiken,41.666666666666664
A.T. Richardson,34.5
A2O,33.0
AJB Vineyards,47.0
AVA Grace Vineyards,14.0
AZS,95.0
Aaldering,49.0
Aaron,42.0
Abacela,30.676056338028168
Abad,19.333333333333332
Abad Dom Bueno,24.7
Abadia Retuerta,34.0
Abadía da Cova,32.0
Abadía de Acón,31.0
Abadía de Tortoreos,26.0
Abadía la Arroyada,25.0
Abarbanel,23.428571428571427
Abbadia Ardenga,54.57142857142857
Abbaye De Tholomies,28.0
Abbaye Sylva Plana,37.0
Abbaye de Saint-Ferme,29.0
Abbazia Monte Oliveto,19.5
Abbazia Santa Anastasia,55.333333333333336
Abbazia di Novacella,27.107142857142858
Abbey Creek,29.0
Abbeyville,11.5
